,app,link,rated,valorations,gender,last_update,size,installs,current_version_app,android_version_req,classification
0,Messenger: mensajes y videollamadas gratis,https://play.google.com/store/apps/details?id=com.facebook.orca,4.1,78190690,Comunicación,19 de mayo de 2021,0.0,5000000000,313.0.0.15.119,Varía con el dispositivo.,Todos
1,TikTok,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,4.4,35214308,Social,20 de mayo de 2021,92.0,1000000000,19.5.42,4.4,Adolescentes
2,Facebook,https://play.google.com/store/apps/details?id=com.facebook.katana,2.3,116060301,Social,19 de mayo de 2021,0.0,5000000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
3,Candy Crush Saga,https://play.google.com/store/apps/details?id=com.king.candycrushsaga,4.6,31248204,Juegos ocasionales,7 de mayo de 2021,0.0,1000000000,1.202.0.2,4.4,Todos
4,Facebook Lite,https://play.google.com/store/apps/details?id=com.facebook.lite,3.2,18231065,Social,19 de mayo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
5,Bubble Shooter,https://play.google.com/store/apps/details?id=bubbleshooter.orig,4.3,1484627,Juegos ocasionales,12 de mayo de 2021,24.0,100000000,13.0.8,4.1,Todos
6,Instagram,https://play.google.com/store/apps/details?id=com.instagram.android,3.8,119188093,Social,17 de mayo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
7,Mi Talking Angela,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingangelafree,4.2,13013927,Juegos ocasionales,4 de mayo de 2021,115.0,500000000,5.2.1.1515,5.0,Todos
8,Mi Talking Tom: Amigos,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfriends,4.3,1838092,Juegos ocasionales,9 de abril de 2021,114.0,100000000,1.6.5.33,5.0,Todos
9,Traductor de Google,https://play.google.com/store/apps/details?id=com.google.android.apps.translate,4.5,7879780,Herramientas,18 de marzo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
10,"Adobe Acrobat Reader: consulte, edite y cree PDF",https://play.google.com/store/apps/details?id=com.adobe.reader,4.6,4559594,Productividad,6 de mayo de 2021,226.0,500000000,21.4.1.17706,5.0,Todos
11,Diario - Monitor de ánimo,https://play.google.com/store/apps/details?id=net.daylio,4.6,323469,Estilo de vida,20 de mayo de 2021,18.0,10000000,1.38.2,5.0,Todos
12,Trovo — Live Stream & Games,https://play.google.com/store/apps/details?id=com.tlive.madcat,4.2,15246,Entretenimiento,12 de mayo de 2021,42.0,1000000,1.15.1.52,4.3,Adolescentes
13,Beelinguapp: Idiomas con Música y Audiolibros,https://play.google.com/store/apps/details?id=com.david.android.languageswitch,4.8,58264,Educación,20 de mayo de 2021,16.0,1000000,2.579,4.2,Todos
14,Sonidos para dormir,https://play.google.com/store/apps/details?id=net.metapps.sleepsounds,4.6,117709,Salud y bienestar,4 de mayo de 2021,48.0,5000000,5.1.1.RC-GP(89),4.4,Todos
15,App de podcast: Gratis y offline con Player FM,https://play.google.com/store/apps/details?id=fm.player,4.6,95533,Música y audio,27 de abril de 2021,0.0,5000000,5.0.0.13,5.0,Adolescentes
16,Endel,https://play.google.com/store/apps/details?id=com.endel.endel,4.3,1700,Salud y bienestar,22 de abril de 2021,0.0,100000,3.0.49,Varía con el dispositivo.,Todos
17,tonestro INSTRUMENTOS DE VIENTO: Aprender y tocar,https://play.google.com/store/apps/details?id=at.funmusic.sepp.mobile,4.5,1194,Educación,26 de abril de 2021,94.0,100000,3.46,6.0,Todos
18,WaterMinder - seguimiento de ingesta de agua,https://play.google.com/store/apps/details?id=com.funnmedia.waterminder,4.5,2236,Salud y bienestar,4 de mayo de 2021,0.0,100000,3.0.1,Varía con el dispositivo.,Todos
19,Facebook Lite,https://play.google.com/store/apps/details?id=com.facebook.lite,3.2,18231040,Social,19 de mayo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
20,Netflix,https://play.google.com/store/apps/details?id=com.netflix.mediaclient,4.4,11579609,Entretenimiento,20 de mayo de 2021,0.0,1000000000,Varía con el dispositivo.,Varía con el dispositivo.,Adolescentes
21,Duolingo - Aprende inglés y otros idiomas gratis,https://play.google.com/store/apps/details?id=com.duolingo,4.6,10986384,Educación,18 de mayo de 2021,0.0,100000000,Varía con el dispositivo.,Varía con el dispositivo.,Todos
22,Telegram,https://play.google.com/store/apps/details?id=org.telegram.messenger,4.3,7879381,Comunicación,17 de abril de 2021,0.0,500000000,Varía con el dispositivo.,Varía con el dispositivo.,Para mayores de 17 años
23,Messenger Lite: llamadas y mensajes gratis,https://play.google.com/store/apps/details?id=com.facebook.mlite,3.9,4583344,Comunicación,20 de mayo de 2021,0.0,500000000,140.0.0.5.118,4.0,Todos
24,Editor de Video y Foto Música - InShot,https://play.google.com/store/apps/details?id=com.camerasideas.instashot,4.8,10313717,Fotografía,19 de mayo de 2021,57.0,100000000,1.711.1312,5.0,Todos
25,Likee Lite - te hace brillar,https://play.google.com/store/apps/details?id=video.like.lite,4.3,473397,Social,10 de mayo de 2021,28.0,100000000,3.6.9,4.1,Adolescentes
26,Spotify Lite,https://play.google.com/store/apps/details?id=com.spotify.lite,4.4,241626,Música y audio,19 de mayo de 2021,10.0,10000000,1.7.39.52,4.1,Adolescentes
27,Mercado Libre: compra fácil y rápido,https://play.google.com/store/apps/details?id=com.mercadolibre,4.8,12087636,Compras,20 de mayo de 2021,21.0,100000000,10.157.4,4.4,Todos
